CO_REGSAUD;DS_NOME;Ano;Pop_0a5;Pop_6a9;Pop_10a14;Pop_15a64;Pop_65emais;Pop_Total;PopH_0a5;PopH_6a9;PopH_10a14;PopH_15a64;PopH_65emais;PopH_Total;PopM_0a5;PopM_6a9;PopM_10a14;PopM_15a64;PopM_65emais;PopM_Total;p_Pop_0a5;p_Pop_6a9;p_Pop_10a14;p_Pop_15a64;p_Pop_65emais;p_PopH_0a5;p_PopH_6a9;p_PopH_10a14;p_PopH_15a64;p_PopH_65emais;p_PopM_0a5;p_PopM_6a9;p_PopM_10a14;p_PopM_15a64;p_PopM_65emais
23005;5ª Região Canindé;2010;19154;14840;22596;121397;17294;195281;9781;7492;11564;60583;8442;97862;9373;7348;11032;60814;8852;97419;9,81;7,60;11,57;62,17;8,86;9,99;7,66;11,82;61,91;8,63;9,62;7,54;11,32;62,43;9,09
23006;6ª Região Itapipoca;2010;29401;21128;31405;170178;20382;272494;14945;10866;16148;86768;9955;138682;14456;10262;15257;83410;10427;133812;10,79;7,75;11,53;62,45;7,48;10,78;7,84;11,64;62,57;7,18;10,80;7,67;11,40;62,33;7,79
23007;7ª Região Aracati;2010;9734;6903;10373;74359;8315;109684;4955;3643;5356;36942;3763;54659;4779;3260;5017;37417;4552;55025;8,87;6,29;9,46;67,79;7,58;9,07;6,66;9,80;67,59;6,88;8,69;5,92;9,12;68,00;8,27
23008;8ª Região Quixadá;2010;28920;21159;32361;195537;28049;306026;14790;10809;16718;96653;13465;152435;14130;10350;15643;98884;14584;153591;9,45;6,91;10,57;63,90;9,17;9,70;7,09;10,97;63,41;8,83;9,20;6,74;10,18;64,38;9,50
23009;9ª Região Russas;2010;15954;12026;18796;128136;15951;190863;8185;6070;9637;63865;7408;95165;7769;5956;9159;64271;8543;95698;8,36;6,30;9,85;67,14;8,36;8,60;6,38;10,13;67,11;7,78;8,12;6,22;9,57;67,16;8,93
23010;10ª Região Limoeiro do Norte;2010;18512;13951;20826;144321;18782;216392;9477;7073;10584;70876;8774;106784;9035;6878;10242;73445;10008;109608;8,55;6,45;9,62;66,69;8,68;8,87;6,62;9,91;66,37;8,22;8,24;6,28;9,34;67,01;9,13
23011;11ª Região Sobral;2010;57302;43098;67753;389970;49883;608006;29050;21896;34662;192373;22546;300527;28252;21202;33091;197597;27337;307479;9,42;7,09;11,14;64,14;8,20;9,67;7,29;11,53;64,01;7,50;9,19;6,90;10,76;64,26;8,89
23012;12ª Região Acaraú;2010;22652;16223;24352;132982;14575;210784;11646;8369;12420;67250;7119;106804;11006;7854;11932;65732;7456;103980;10,75;7,70;11,55;63,09;6,91;10,90;7,84;11,63;62,97;6,67;10,58;7,55;11,48;63,22;7,17
23013;13ª Região Tianguá;2010;31064;22867;34129;183826;23324;295210;15723;11641;17270;91368;10693;146695;15341;11226;16859;92458;12631;148515;10,52;7,75;11,56;62,27;7,90;10,72;7,94;11,77;62,28;7,29;10,33;7,56;11,35;62,25;8,50
23014;14ª Região Tauá;2010;10079;8141;12134;69744;10780;110878;5165;4104;6160;33872;5285;54586;4914;4037;5974;35872;5495;56292;9,09;7,34;10,94;62,90;9,72;9,46;7,52;11,28;62,05;9,68;8,73;7,17;10,61;63,72;9,76
23015;15ª Região Crateús;2010;26676;20121;30994;183510;29276;290577;13459;10209;15721;89956;13601;142946;13217;9912;15273;93554;15675;147631;9,18;6,92;10,67;63,15;10,08;9,42;7,14;11,00;62,93;9,51;8,95;6,71;10,35;63,37;10,62
23016;16ª Região Camocim;2010;15261;11601;18242;94293;10711;150108;7732;5929;9194;47207;5037;75099;7529;5672;9048;47086;5674;75009;10,17;7,73;12,15;62,82;7,14;10,30;7,89;12,24;62,86;6,71;10,04;7,56;12,06;62,77;7,56
23017;17ª Região Icó;2010;15215;11355;16306;108256;16910;168042;7775;5742;8377;53039;7868;82801;7440;5613;7929;55217;9042;85241;9,05;6,76;9,70;64,42;10,06;9,39;6,93;10,12;64,06;9,50;8,73;6,58;9,30;64,78;10,61
23018;18ª Região Iguatú;2010;27610;19737;29095;200131;30205;306778;14184;10041;14842;97965;14331;151363;13426;9696;14253;102166;15874;155415;9,00;6,43;9,48;65,24;9,85;9,37;6,63;9,81;64,72;9,47;8,64;6,24;9,17;65,74;10,21
